# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 36032
273 2.051490 -0.637428 0.350667 128 128 255 1.0000 70 0
274 2.090449 -0.538823 0.880155 128 128 255 1.0000 70 0
275 1.992977 -0.337124 0.029461 128 128 255 1.0000 70 0
276 -0.158148 0.077748 -0.362294 128 128 255 1.0000 9 0
277 0.529613 -0.531608 -0.294385 128 128 255 1.0000 70 0
278 -0.400471 -0.651506 -0.557462 128 128 255 1.0000 70 0
279 1.956503 -0.249742 -0.314698 128 128 255 1.0000 70 0
280 1.833487 -0.051357 0.457331 128 128 255 1.0000 70 0
281 0.368868 0.064945 0.699293 128 128 255 1.0000 9 0
282 2.029226 -0.036835 0.075849 128 128 255 1.0000 70 0
283 1.867660 0.063192 0.795192 128 128 255 1.0000 70 0
284 1.827868 0.068333 0.353079 128 128 255 1.0000 70 0
285 1.286142 -0.792981 0.813348 128 128 255 1.0000 70 0
286 2.039492 -0.780373 1.223831 128 128 255 1.0000 70 0
287 2.036865 -0.331255 0.239610 128 128 255 1.0000 70 0
288 1.952729 -0.560238 -0.330824 128 128 255 1.0000 70 0
289 0.649227 -0.498711 0.246140 128 128 255 1.0000 70 0
290 0.438864 -0.246146 1.555376 128 128 255 1.0000 70 0
291 -0.832552 -0.245164 0.525847 128 128 255 1.0000 70 0
292 -0.675204 -0.207108 1.111467 128 128 255 1.0000 70 0
293 1.975855 -0.015325 0.781308 128 128 255 1.0000 70 0
294 1.548795 0.065639 -0.771414 128 128 255 1.0000 70 0
295 1.794517 0.050875 0.579634 128 128 255 1.0000 70 0
296 -0.227284 -0.749987 0.828197 128 128 255 1.0000 2 0
297 -0.661552 0.098877 -0.269064 128 128 255 1.0000 1 0
298 0.655364 -0.664122 0.889779 128 128 255 1.0000 70 0
299 0.405755 -0.282191 1.463716 128 128 255 1.0000 70 0
300 1.589321 -0.063708 1.326533 128 128 255 1.0000 70 0
301 1.368008 0.018528 0.103912 128 128 255 1.0000 70 0
302 1.415189 0.066737 0.594451 128 128 255 1.0000 70 0
303 1.999292 -0.454145 0.197698 128 128 255 1.0000 70 0
304 2.173472 -0.524028 1.168494 128 128 255 1.0000 70 0
305 1.068707 -0.650566 1.428932 128 128 255 1.0000 70 0
306 2.214264 -0.559063 1.248038 128 128 255 1.0000 70 0
307 1.261996 -0.133826 1.357786 128 128 255 1.0000 70 0
308 1.870080 0.046017 0.799784 128 128 255 1.0000 70 0
309 1.350679 0.073054 0.213063 128 128 255 1.0000 70 0
310 2.058100 -0.330318 0.369164 128 128 255 1.0000 70 0
311 1.510335 -0.339729 1.397589 128 128 255 1.0000 70 0
312 1.086622 -0.313845 1.441760 128 128 255 1.0000 70 0
313 0.429074 -0.264751 1.546733 128 128 255 1.0000 70 0
314 0.583788 -0.335333 1.567949 128 128 255 1.0000 9 0
315 1.353748 0.057207 0.365884 128 128 255 1.0000 70 0
316 1.811279 0.045505 0.459236 128 128 255 1.0000 70 0
317 1.894634 -0.736690 0.435286 128 128 255 1.0000 70 0
318 0.568979 -0.516495 0.361510 128 128 255 1.0000 70 0
319 2.215898 -0.345866 1.272233 128 128 255 1.0000 70 0
320 1.947059 -0.021647 0.785932 128 128 255 1.0000 70 0
321 1.854981 -0.736726 0.203652 128 128 255 1.0000 70 0
322 1.696687 -0.552623 -1.483062 128 128 255 1.0000 70 0
323 -0.158871 0.057957 -0.365022 128 128 255 1.0000 9 0
324 1.977172 -0.084355 -0.229338 128 128 255 1.0000 70 0
325 1.991536 -0.720318 0.609257 128 128 255 1.0000 70 0
326 1.646743 -0.810278 1.049562 128 128 255 1.0000 70 0
327 0.676148 0.094015 0.764280 128 128 255 1.0000 9 0
328 1.025616 -0.838828 1.474795 128 128 255 1.0000 67 0
329 1.818694 -0.149763 0.593539 128 128 255 1.0000 70 0
330 0.425263 0.087652 0.666797 128 128 255 1.0000 9 0
331 1.343477 0.051771 -0.039382 128 128 255 1.0000 70 0
332 1.809962 0.057505 0.429613 128 128 255 1.0000 70 0
333 1.984974 -0.320298 0.035347 128 128 255 1.0000 70 0
334 2.006954 -0.041813 -0.113751 128 128 255 1.0000 70 0
335 1.058272 -0.471012 -0.854504 128 128 255 1.0000 70 0
336 1.508090 -0.073878 1.301919 128 128 255 1.0000 70 0
337 2.039016 -0.414773 0.150295 128 128 255 1.0000 70 0
338 0.700494 -0.699246 1.222746 128 128 255 1.0000 70 0
339 1.845805 -0.115875 0.431322 128 128 255 1.0000 70 0
340 1.800018 -0.079243 0.443363 128 128 255 1.0000 70 0
341 -0.800169 -0.570232 -0.369594 128 128 255 1.0000 70 0
342 -0.575858 -0.475853 1.040978 128 128 255 1.0000 70 0
343 1.445233 -0.033947 1.309582 128 128 255 1.0000 70 0
344 1.667469 -0.036993 1.290509 128 128 255 1.0000 70 0
345 1.361710 0.002581 0.004682 128 128 255 1.0000 70 0
346 1.289019 0.052530 -0.124006 128 128 255 1.0000 70 0
347 2.016841 -0.446751 -0.057000 128 128 255 1.0000 70 0
348 1.499114 -0.357409 1.406587 128 128 255 1.0000 70 0
349 0.246396 -0.667887 -0.876386 128 128 255 1.0000 70 0
350 1.511975 -0.808792 -0.191118 128 128 255 1.0000 70 0
351 1.912394 -0.552426 -0.257079 128 128 255 1.0000 70 0
352 0.283956 -0.490171 -1.566500 128 128 255 1.0000 70 0
353 0.094527 -0.494552 1.610637 128 128 255 1.0000 9 0
354 1.275389 -0.879775 1.029435 128 128 255 1.0000 70 0
355 1.617589 -0.062045 1.307882 128 128 255 1.0000 70 0
356 0.559391 -0.047685 1.455578 128 128 255 1.0000 9 0
357 0.606405 -0.265922 1.561520 128 128 255 1.0000 70 0
358 0.619958 -0.113017 0.230283 128 128 255 1.0000 70 0
359 1.957107 -0.417494 -0.276317 128 128 255 1.0000 70 0
360 -0.668019 -0.630525 -0.461639 128 128 255 1.0000 70 0
361 1.362273 0.050175 -1.054583 128 128 255 1.0000 70 0
362 0.497519 -0.627517 -0.382730 128 128 255 1.0000 70 0
363 1.016710 -0.619431 -1.005600 128 128 255 1.0000 70 0
364 1.180244 -0.854071 0.373186 128 128 255 1.0000 70 0
365 1.734564 0.059816 1.267588 128 128 255 1.0000 70 0
366 1.210991 0.095235 -0.423326 128 128 255 1.0000 70 0
367 0.782880 -0.402861 1.506115 128 128 255 1.0000 70 0
368 -0.503604 -0.670388 -0.894472 128 128 255 1.0000 70 0
369 1.855840 -0.048495 1.327989 128 128 255 1.0000 70 0
370 1.193300 -0.740297 0.969060 128 128 255 1.0000 70 0
371 0.666933 -0.504769 0.346282 128 128 255 1.0000 70 0
372 1.934605 -0.371405 -0.560587 128 128 255 1.0000 70 0
373 -0.739659 -0.377117 -1.095211 128 128 255 1.0000 70 0
374 0.410761 -0.720111 0.005875 128 128 255 1.0000 70 0
375 -0.139917 -0.693265 0.811851 128 128 255 1.0000 9 0
376 1.365099 -0.028623 1.326429 128 128 255 1.0000 70 0
377 1.131275 -0.684332 0.516005 128 128 255 1.0000 70 0
378 0.633496 -0.633513 -0.406092 128 128 255 1.0000 70 0
379 -0.394694 0.099129 0.295515 128 128 255 1.0000 1 0
380 0.340814 -0.519031 0.113707 128 128 255 1.0000 9 0
381 -0.743746 -0.529979 0.480370 128 128 255 1.0000 70 0
382 0.778492 -0.489705 -1.554372 128 128 255 1.0000 70 0
383 -0.757008 -0.362370 -0.998266 128 128 255 1.0000 70 0
384 1.996001 -0.365117 -0.181723 128 128 255 1.0000 70 0
385 0.552294 -0.346575 -1.626921 128 128 255 1.0000 70 0
386 -0.638365 -0.743057 0.106869 128 128 255 1.0000 9 0
387 1.902002 -0.548067 -0.562319 128 128 255 1.0000 70 0
388 -0.458303 -0.703426 0.428247 128 128 255 1.0000 70 0
389 0.411160 -0.693384 -0.179210 128 128 255 1.0000 9 0
390 -1.153365 -0.995801 0.379127 128 128 255 1.0000 9 0
391 1.351851 0.069909 0.365967 128 128 255 1.0000 70 0
392 2.186304 -0.563498 1.123971 128 128 255 1.0000 70 0
393 0.820812 -0.554762 1.499341 128 128 255 1.0000 70 0
394 1.239086 -0.136747 1.343693 128 128 255 1.0000 70 0
395 -0.171676 0.090967 0.414276 128 128 255 1.0000 1 0
396 0.490078 -0.600640 -0.388749 128 128 255 1.0000 9 0
397 1.867364 -0.398397 -0.590090 128 128 255 1.0000 70 0
398 0.983848 -0.663414 -1.035696 128 128 255 1.0000 70 0
399 1.867482 -0.323307 1.346386 128 128 255 1.0000 9 0
400 1.089218 -0.800907 0.604162 128 128 255 1.0000 70 0
401 1.346666 -0.627946 1.423993 128 128 255 1.0000 70 0
402 -0.536286 -0.694588 -0.165716 128 128 255 1.0000 70 0
403 1.848917 -0.140723 1.358817 128 128 255 1.0000 70 0
404 0.680508 -0.701402 -0.630638 128 128 255 1.0000 70 0
405 -0.322407 -0.869562 0.540561 128 128 255 1.0000 3 0
406 2.017695 -0.611066 0.732713 128 128 255 1.0000 70 0
407 0.973848 -0.632377 1.499645 128 128 255 1.0000 70 0
408 2.032046 -0.095570 1.293190 128 128 255 1.0000 70 0
409 1.714602 -0.067724 -0.298589 128 128 255 1.0000 70 0
410 1.051894 -1.094124 0.329353 128 128 255 1.0000 70 0
411 1.812007 -0.590736 1.372640 128 128 255 1.0000 70 0
412 1.001063 -0.745902 -0.634463 128 128 255 1.0000 70 0
413 1.178809 -0.829360 1.400397 128 128 255 1.0000 70 0
